# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-06-05 17:12:19 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01102500 ABERJONA RIVER AT WINCHESTER, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01102500
#            TS   parameter     statistic     Description
#         64138       00060     00003     Discharge, cubic feet per second (Mean), MYSTIC VALLEY PARKWAY
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     <  Actual value is known to be less than reported value.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64138_00060_00003	64138_00060_00003_cd
USGS	01102500	2015-02-09	24.0	A
USGS	01102500	2015-02-10	24.0	A
USGS	01102500	2015-02-11	22.0	A
USGS	01102500	2015-02-12	21.0	A
USGS	01102500	2015-02-13	20.0	A
USGS	01102500	2015-02-14	20.0	A
USGS	01102500	2015-02-15	21.0	A
USGS	01102500	2015-02-16	19.0	A
USGS	01102500	2015-02-17	19.0	A
USGS	01102500	2015-02-18	18.0	A
USGS	01102500	2015-02-19	17.0	A
USGS	01102500	2015-02-20	28.0	A
USGS	01102500	2015-02-21	17.0	A
USGS	01102500	2015-02-22	18.0	A
USGS	01102500	2015-02-23	15.0	A
USGS	01102500	2015-02-24	16.0	A
USGS	01102500	2015-02-25	15.0	A
USGS	01102500	2015-02-26	14.0	A
USGS	01102500	2015-02-27	13.0	A
USGS	01102500	2015-02-28	12.0	A
USGS	01102500	2015-03-01	12.0	A
USGS	01102500	2015-03-02	12.0	A
USGS	01102500	2015-03-03	11.0	A
USGS	01102500	2015-03-04	16.0	A
USGS	01102500	2015-03-05	16.0	A
USGS	01102500	2015-03-06	14.0	A
USGS	01102500	2015-03-07	13.0	A
USGS	01102500	2015-03-08	13.0	A
USGS	01102500	2015-03-09	16.0	A
USGS	01102500	2015-03-10	22.0	A
USGS	01102500	2015-03-11	55.0	A
USGS	01102500	2015-03-12	71.0	A
USGS	01102500	2015-03-13	52.0	A
USGS	01102500	2015-03-14	71.0	A
USGS	01102500	2015-03-15	122	A
USGS	01102500	2015-03-16	98.0	A
USGS	01102500	2015-03-17	91.0	A
USGS	01102500	2015-03-18	90.0	A
USGS	01102500	2015-03-19	74.0	A
USGS	01102500	2015-03-20	64.0	A
USGS	01102500	2015-03-21	57.0	A
USGS	01102500	2015-03-22	55.0	A
USGS	01102500	2015-03-23	50.0	A
USGS	01102500	2015-03-24	45.0	A
USGS	01102500	2015-03-25	48.0	A
USGS	01102500	2015-03-26	96.0	A
USGS	01102500	2015-03-27	172	A
USGS	01102500	2015-03-28	142	A
USGS	01102500	2015-03-29	112	A
USGS	01102500	2015-03-30	98.0	A
USGS	01102500	2015-03-31	87.0	A
USGS	01102500	2015-04-01	77.0	A
USGS	01102500	2015-04-02	84.0	A
USGS	01102500	2015-04-03	96.0	A
USGS	01102500	2015-04-04	131	A
USGS	01102500	2015-04-05	121	A
USGS	01102500	2015-04-06	106	A
USGS	01102500	2015-04-07	83.0	A
USGS	01102500	2015-04-08	75.0	A
USGS	01102500	2015-04-09	89.0	A
USGS	01102500	2015-04-10	89.0	A
USGS	01102500	2015-04-11	81.0	A
USGS	01102500	2015-04-12	69.0	A
USGS	01102500	2015-04-13	62.0	A
USGS	01102500	2015-04-14	59.0	A
USGS	01102500	2015-04-15	55.0	A
USGS	01102500	2015-04-16	51.0	A
USGS	01102500	2015-04-17	49.0	A
USGS	01102500	2015-04-18	49.0	A
USGS	01102500	2015-04-19	44.0	A
USGS	01102500	2015-04-20	58.0	A
USGS	01102500	2015-04-21	144	A
USGS	01102500	2015-04-22	94.0	A
USGS	01102500	2015-04-23	76.0	A
USGS	01102500	2015-04-24	54.0	A
USGS	01102500	2015-04-25	46.0	A
USGS	01102500	2015-04-26	43.0	A
USGS	01102500	2015-04-27	40.0	A
USGS	01102500	2015-04-28	40.0	A
USGS	01102500	2015-04-29	35.0	A
USGS	01102500	2015-04-30	32.0	A
USGS	01102500	2015-05-01	32.0	A
USGS	01102500	2015-05-02	28.0	A
USGS	01102500	2015-05-03	26.0	A
USGS	01102500	2015-05-04	24.0	A
USGS	01102500	2015-05-05	23.0	A
USGS	01102500	2015-05-06	21.0	A
USGS	01102500	2015-05-07	19.0	A
USGS	01102500	2015-05-08	18.0	A
USGS	01102500	2015-05-09	16.0	A
USGS	01102500	2015-05-10	15.0	A
USGS	01102500	2015-05-11	14.0	A
USGS	01102500	2015-05-12	13.0	A
USGS	01102500	2015-05-13	12.0	A
USGS	01102500	2015-05-14	12.0	A
USGS	01102500	2015-05-15	11.0	A
USGS	01102500	2015-05-16	11.0	A
USGS	01102500	2015-05-17	11.0	A
USGS	01102500	2015-05-18	9.90	A
USGS	01102500	2015-05-19	13.0	A
USGS	01102500	2015-05-20	28.0	A
USGS	01102500	2015-05-21	13.0	A
USGS	01102500	2015-05-22	9.10	A
USGS	01102500	2015-05-23	7.80	A
USGS	01102500	2015-05-24	7.00	A
USGS	01102500	2015-05-25	7.30	A
USGS	01102500	2015-05-26	6.30	A
USGS	01102500	2015-05-27	6.40	A
USGS	01102500	2015-05-28	9.50	A
USGS	01102500	2015-05-29	15.0	A
USGS	01102500	2015-05-30	8.30	A
USGS	01102500	2015-05-31	48.0	A
USGS	01102500	2015-06-01	100	A
USGS	01102500	2015-06-02	197	A
USGS	01102500	2015-06-03	114	A
USGS	01102500	2015-06-04	43.0	A
USGS	01102500	2015-06-05	36.0	A
USGS	01102500	2015-06-06	29.0	A
USGS	01102500	2015-06-07	23.0	A
USGS	01102500	2015-06-08	32.0	A
USGS	01102500	2015-06-09	11.0	A
USGS	01102500	2015-06-10	35.0	A
USGS	01102500	2015-06-11	27.0	A
USGS	01102500	2015-06-12	22.0	A
USGS	01102500	2015-06-13	19.0	A
USGS	01102500	2015-06-14	15.0	A
USGS	01102500	2015-06-15	28.0	A
USGS	01102500	2015-06-16	25.0	A
USGS	01102500	2015-06-17	18.0	A
USGS	01102500	2015-06-18	15.0	A
USGS	01102500	2015-06-19	13.0	A:e
USGS	01102500	2015-06-20	12.0	A:e
USGS	01102500	2015-06-21	52.0	A:e
USGS	01102500	2015-06-22	138	A:e
USGS	01102500	2015-06-23	42.0	A:e
USGS	01102500	2015-06-24	26.0	A:e
USGS	01102500	2015-06-25	22.0	A:e
USGS	01102500	2015-06-26	19.0	A:e
USGS	01102500	2015-06-27	18.0	A:e
USGS	01102500	2015-06-28	118	A:e
USGS	01102500	2015-06-29	47.0	A:e
USGS	01102500	2015-06-30	36.0	A:e
USGS	01102500	2015-07-01	62.0	A:e
USGS	01102500	2015-07-02	32.0	A:e
USGS	01102500	2015-07-03	26.0	A:e
USGS	01102500	2015-07-04	23.0	A:e
USGS	01102500	2015-07-05	20.0	A:e
USGS	01102500	2015-07-06	18.0	A:e
USGS	01102500	2015-07-07	16.0	A:e
USGS	01102500	2015-07-08	15.0	A:e
USGS	01102500	2015-07-09	20.0	A:e
USGS	01102500	2015-07-10	35.0	A:e
USGS	01102500	2015-07-11	26.0	A:e
USGS	01102500	2015-07-12	19.0	A:e
USGS	01102500	2015-07-13	13.0	A:e
USGS	01102500	2015-07-14	12.0	A:e
USGS	01102500	2015-07-15	11.0	A:e
USGS	01102500	2015-07-16	11.0	A:e
USGS	01102500	2015-07-17	10.0	A:e
USGS	01102500	2015-07-18	10.0	A:e
USGS	01102500	2015-07-19	9.60	A:e
USGS	01102500	2015-07-20	9.40	A:e
USGS	01102500	2015-07-21	9.20	A:e
USGS	01102500	2015-07-22	8.60	A:e
USGS	01102500	2015-07-23	8.10	A:e
USGS	01102500	2015-07-24	7.70	A:e
USGS	01102500	2015-07-25	7.30	A:e
USGS	01102500	2015-07-26	6.80	A:e
USGS	01102500	2015-07-27	7.40	A:e
USGS	01102500	2015-07-28	6.60	A:e
USGS	01102500	2015-07-29	5.90	A:e
USGS	01102500	2015-07-30	5.50	A:e
USGS	01102500	2015-07-31	5.00	A:e
USGS	01102500	2015-08-01	8.70	A:e
USGS	01102500	2015-08-02	8.10	A:e
USGS	01102500	2015-08-03	7.60	A:e
USGS	01102500	2015-08-04	21.0	A:e
USGS	01102500	2015-08-05	9.30	A:e
USGS	01102500	2015-08-06	7.40	A:e
USGS	01102500	2015-08-07	7.10	A:e
USGS	01102500	2015-08-08	6.40	A:e
USGS	01102500	2015-08-09	6.30	A:e
USGS	01102500	2015-08-10	8.50	A:e
USGS	01102500	2015-08-11	29.0	A:e
USGS	01102500	2015-08-12	10.0	A:e
USGS	01102500	2015-08-13	9.50	A:e
USGS	01102500	2015-08-14	7.80	A:e
USGS	01102500	2015-08-15	7.60	A:e
USGS	01102500	2015-08-16	7.00	A:e
USGS	01102500	2015-08-17	6.90	A:e
USGS	01102500	2015-08-18	6.50	A:e
USGS	01102500	2015-08-19	6.50	A:e
USGS	01102500	2015-08-20	6.30	A:e
USGS	01102500	2015-08-21	28.0	A:e
USGS	01102500	2015-08-22	17.0	A:e
USGS	01102500	2015-08-23	11.0	A:e
USGS	01102500	2015-08-24	10.0	A:e
USGS	01102500	2015-08-25	8.90	A:e
USGS	01102500	2015-08-26	8.00	A:e
USGS	01102500	2015-08-27	7.50	A:e
USGS	01102500	2015-08-28	7.30	A:e
USGS	01102500	2015-08-29	7.10	A:e
USGS	01102500	2015-08-30	6.70	A:e
USGS	01102500	2015-08-31	6.30	A:e
USGS	01102500	2015-09-01	5.90	A:e
USGS	01102500	2015-09-02	5.90	A:e
USGS	01102500	2015-09-03	5.80	A:e
USGS	01102500	2015-09-04	5.60	A:e
USGS	01102500	2015-09-05	5.40	A:e
USGS	01102500	2015-09-06	4.90	A:e
USGS	01102500	2015-09-07	4.80	A:e
USGS	01102500	2015-09-08	4.50	A:e
USGS	01102500	2015-09-09	4.90	A:e
USGS	01102500	2015-09-10	10.0	A:e
USGS	01102500	2015-09-11	24.0	A
USGS	01102500	2015-09-12	6.90	A
USGS	01102500	2015-09-13	6.10	A:e
USGS	01102500	2015-09-14	5.60	A:e
USGS	01102500	2015-09-15	4.60	A:e
USGS	01102500	2015-09-16	4.40	A:e
USGS	01102500	2015-09-17	4.10	A:e
USGS	01102500	2015-09-18	4.00	A:e
USGS	01102500	2015-09-19	3.90	A:e
USGS	01102500	2015-09-20	3.80	A:e
USGS	01102500	2015-09-21	3.60	A:e
USGS	01102500	2015-09-22	3.40	A:e
USGS	01102500	2015-09-23	3.40	A:e
USGS	01102500	2015-09-24	3.30	A:e
USGS	01102500	2015-09-25	3.20	A:e
USGS	01102500	2015-09-26	3.30	A:e
USGS	01102500	2015-09-27	4.00	A:e
USGS	01102500	2015-09-28	4.10	A:e
USGS	01102500	2015-09-29	2.00	A
USGS	01102500	2015-09-30	262	A
USGS	01102500	2015-10-01	206	A
USGS	01102500	2015-10-02	83.0	A
USGS	01102500	2015-10-03	67.0	A
USGS	01102500	2015-10-04	48.0	A
USGS	01102500	2015-10-05	22.0	A
USGS	01102500	2015-10-06	24.0	A
USGS	01102500	2015-10-07	21.0	A
USGS	01102500	2015-10-08	17.0	A
USGS	01102500	2015-10-09	9.20	A
USGS	01102500	2015-10-10	8.40	A
USGS	01102500	2015-10-11	7.30	A
USGS	01102500	2015-10-12	6.30	A
USGS	01102500	2015-10-13	8.14	A
USGS	01102500	2015-10-14	8.65	A
USGS	01102500	2015-10-15	8.10	A
USGS	01102500	2015-10-16	7.73	A
USGS	01102500	2015-10-17	7.26	A
USGS	01102500	2015-10-18	6.35	A
USGS	01102500	2015-10-19	5.93	A
USGS	01102500	2015-10-20	6.24	A
USGS	01102500	2015-10-21	6.50	A
USGS	01102500	2015-10-22	7.08	A
USGS	01102500	2015-10-23	6.42	A
USGS	01102500	2015-10-24	5.72	A
USGS	01102500	2015-10-25	6.18	A
USGS	01102500	2015-10-26	6.03	A
USGS	01102500	2015-10-27	6.45	A
USGS	01102500	2015-10-28	10.5	A
USGS	01102500	2015-10-29	74.5	A
USGS	01102500	2015-10-30	37.2	A
USGS	01102500	2015-10-31	20.4	A
USGS	01102500	2015-11-01	14.9	A
USGS	01102500	2015-11-02	12.3	A
USGS	01102500	2015-11-03	10.6	A
USGS	01102500	2015-11-04	9.66	A
USGS	01102500	2015-11-05	9.30	A
USGS	01102500	2015-11-06	9.14	A
USGS	01102500	2015-11-07	8.64	A
USGS	01102500	2015-11-08	7.89	A
USGS	01102500	2015-11-09	7.39	A
USGS	01102500	2015-11-10	7.36	A
USGS	01102500	2015-11-11	9.97	A
USGS	01102500	2015-11-12	10.4	A
USGS	01102500	2015-11-13	11.0	A
USGS	01102500	2015-11-14	9.51	A
USGS	01102500	2015-11-15	8.51	A
USGS	01102500	2015-11-16	8.19	A
USGS	01102500	2015-11-17	8.03	A:e
USGS	01102500	2015-11-18	7.38	A
USGS	01102500	2015-11-19	7.40	A
USGS	01102500	2015-11-20	50.7	A
USGS	01102500	2015-11-21	34.7	A
USGS	01102500	2015-11-22	21.4	A
USGS	01102500	2015-11-23	19.4	A
USGS	01102500	2015-11-24	15.1	A
USGS	01102500	2015-11-25	12.7	A
USGS	01102500	2015-11-26	11.6	A
USGS	01102500	2015-11-27	11.2	A
USGS	01102500	2015-11-28	12.9	A
USGS	01102500	2015-11-29	14.0	A
USGS	01102500	2015-11-30	12.0	A
USGS	01102500	2015-12-01	11.1	A
USGS	01102500	2015-12-02	14.0	A
USGS	01102500	2015-12-03	16.0	A
USGS	01102500	2015-12-04	13.3	A
USGS	01102500	2015-12-05	11.6	A
USGS	01102500	2015-12-06	10.7	A
USGS	01102500	2015-12-07	10.2	A
USGS	01102500	2015-12-08	9.55	A
USGS	01102500	2015-12-09	9.33	A
USGS	01102500	2015-12-10	9.03	A
USGS	01102500	2015-12-11	9.10	A
USGS	01102500	2015-12-12	9.07	A
USGS	01102500	2015-12-13	8.93	A
USGS	01102500	2015-12-14	9.30	A
USGS	01102500	2015-12-15	33.0	A
USGS	01102500	2015-12-16	20.3	A
USGS	01102500	2015-12-17	18.5	A
USGS	01102500	2015-12-18	32.1	A
USGS	01102500	2015-12-19	22.7	A
USGS	01102500	2015-12-20	16.6	A
USGS	01102500	2015-12-21	14.2	A
USGS	01102500	2015-12-22	17.0	A
USGS	01102500	2015-12-23	22.4	A
USGS	01102500	2015-12-24	74.6	A
USGS	01102500	2015-12-25	43.2	A
USGS	01102500	2015-12-26	27.2	A
USGS	01102500	2015-12-27	32.1	A
USGS	01102500	2015-12-28	29.0	A
USGS	01102500	2015-12-29	43.2	A
USGS	01102500	2015-12-30	49.4	A
USGS	01102500	2015-12-31	44.1	A
USGS	01102500	2016-01-01	45.4	A
USGS	01102500	2016-01-02	39.5	A
USGS	01102500	2016-01-03	33.8	A
USGS	01102500	2016-01-04	28.8	A
USGS	01102500	2016-01-05	23.8	A
USGS	01102500	2016-01-06	21.8	A
USGS	01102500	2016-01-07	20.5	A
USGS	01102500	2016-01-08	17.4	A
USGS	01102500	2016-01-09	27.9	A
USGS	01102500	2016-01-10	75.5	A:e
USGS	01102500	2016-01-11	130	A
USGS	01102500	2016-01-12	84.2	A
USGS	01102500	2016-01-13	55.5	A
USGS	01102500	2016-01-14	40.3	A
USGS	01102500	2016-01-15	33.4	A
USGS	01102500	2016-01-16	78.3	A
USGS	01102500	2016-01-17	78.6	A
USGS	01102500	2016-01-18	54.1	A
USGS	01102500	2016-01-19	39.0	A
USGS	01102500	2016-01-20	29.1	A
USGS	01102500	2016-01-21	27.0	A
USGS	01102500	2016-01-22	27.8	A
USGS	01102500	2016-01-23	30.3	A
USGS	01102500	2016-01-24	28.8	A
USGS	01102500	2016-01-25	26.6	A
USGS	01102500	2016-01-26	27.0	A
USGS	01102500	2016-01-27	34.0	A
USGS	01102500	2016-01-28	31.8	A
USGS	01102500	2016-01-29	28.8	A
USGS	01102500	2016-01-30	26.0	A
USGS	01102500	2016-01-31	23.9	A
USGS	01102500	2016-02-01	22.9	A
USGS	01102500	2016-02-02	21.7	A
USGS	01102500	2016-02-03	22.0	A
USGS	01102500	2016-02-04	26.5	A
USGS	01102500	2016-02-05	34.0	A
USGS	01102500	2016-02-06	34.6	A
USGS	01102500	2016-02-07	30.5	A
USGS	01102500	2016-02-08	27.6	A
USGS	01102500	2016-02-09	26.3	A
USGS	01102500	2016-02-10	25.0	A
USGS	01102500	2016-02-11	23.6	A
USGS	01102500	2016-02-12	21.1	A
USGS	01102500	2016-02-13	19.9	A
USGS	01102500	2016-02-14	17.4	A
USGS	01102500	2016-02-15	16.6	A
USGS	01102500	2016-02-16	67.2	A
USGS	01102500	2016-02-17	105	A
USGS	01102500	2016-02-18	66.3	A
USGS	01102500	2016-02-19	45.0	A
USGS	01102500	2016-02-20	53.9	A
USGS	01102500	2016-02-21	54.0	A
USGS	01102500	2016-02-22	51.8	A
USGS	01102500	2016-02-23	44.1	A
USGS	01102500	2016-02-24	60.5	A
USGS	01102500	2016-02-25	93.0	A
USGS	01102500	2016-02-26	79.2	A
USGS	01102500	2016-02-27	55.8	A
USGS	01102500	2016-02-28	46.5	A
USGS	01102500	2016-02-29	41.6	A
USGS	01102500	2016-03-01	35.5	A
USGS	01102500	2016-03-02	47.1	A
USGS	01102500	2016-03-03	38.6	A
USGS	01102500	2016-03-04	27.7	A
USGS	01102500	2016-03-05	23.0	A
USGS	01102500	2016-03-06	21.1	A
USGS	01102500	2016-03-07	20.1	A
USGS	01102500	2016-03-08	19.3	A
USGS	01102500	2016-03-09	18.9	A
USGS	01102500	2016-03-10	22.3	A
USGS	01102500	2016-03-11	39.3	A
USGS	01102500	2016-03-12	30.6	A
USGS	01102500	2016-03-13	25.7	A
USGS	01102500	2016-03-14	23.0	A
USGS	01102500	2016-03-15	91.7	A
USGS	01102500	2016-03-16	103	A
USGS	01102500	2016-03-17	73.2	A
USGS	01102500	2016-03-18	56.2	A
USGS	01102500	2016-03-19	44.8	A
USGS	01102500	2016-03-20	38.2	A
USGS	01102500	2016-03-21	40.2	A
USGS	01102500	2016-03-22	42.0	A
USGS	01102500	2016-03-23	40.2	A
USGS	01102500	2016-03-24	35.4	A
USGS	01102500	2016-03-25	38.0	A
USGS	01102500	2016-03-26	36.2	A
USGS	01102500	2016-03-27	31.2	A
USGS	01102500	2016-03-28	40.7	A
USGS	01102500	2016-03-29	52.3	A
USGS	01102500	2016-03-30	39.9	A
USGS	01102500	2016-03-31	34.5	A
USGS	01102500	2016-04-01	31.6	A
USGS	01102500	2016-04-02	33.4	A
USGS	01102500	2016-04-03	49.3	A
USGS	01102500	2016-04-04	44.6	A
USGS	01102500	2016-04-05	39.5	A
USGS	01102500	2016-04-06	36.8	A
USGS	01102500	2016-04-07	92.7	A
USGS	01102500	2016-04-08	153	A
USGS	01102500	2016-04-09	102	A
USGS	01102500	2016-04-10	76.5	A
USGS	01102500	2016-04-11	63.0	A
USGS	01102500	2016-04-12	61.1	A
USGS	01102500	2016-04-13	58.1	A
USGS	01102500	2016-04-14	51.0	A
USGS	01102500	2016-04-15	42.4	A
USGS	01102500	2016-04-16	37.2	A
USGS	01102500	2016-04-17	35.0	A
USGS	01102500	2016-04-18	32.9	A
USGS	01102500	2016-04-19	31.2	A
USGS	01102500	2016-04-20	29.2	A
USGS	01102500	2016-04-21	27.7	A
USGS	01102500	2016-04-22	26.4	A
USGS	01102500	2016-04-23	29.5	A
USGS	01102500	2016-04-24	27.1	A
USGS	01102500	2016-04-25	25.5	A
USGS	01102500	2016-04-26	34.7	A
USGS	01102500	2016-04-27	36.0	A
USGS	01102500	2016-04-28	28.7	A
USGS	01102500	2016-04-29	24.3	A
USGS	01102500	2016-04-30	21.6	A
USGS	01102500	2016-05-01	19.9	A
USGS	01102500	2016-05-02	30.2	A
USGS	01102500	2016-05-03	38.0	A
USGS	01102500	2016-05-04	34.7	A
USGS	01102500	2016-05-05	45.0	A
USGS	01102500	2016-05-06	46.1	A
USGS	01102500	2016-05-07	36.6	A
USGS	01102500	2016-05-08	32.0	A
USGS	01102500	2016-05-09	23.3	A
USGS	01102500	2016-05-10	19.9	A
USGS	01102500	2016-05-11	19.1	A
USGS	01102500	2016-05-12	17.9	A
USGS	01102500	2016-05-13	17.1	A
USGS	01102500	2016-05-14	18.4	A
USGS	01102500	2016-05-15	17.0	A
USGS	01102500	2016-05-16	14.6	A
USGS	01102500	2016-05-17	13.0	A
USGS	01102500	2016-05-18	11.7	A
USGS	01102500	2016-05-19	11.1	A
USGS	01102500	2016-05-20	10.3	A
USGS	01102500	2016-05-21	9.61	A
USGS	01102500	2016-05-22	9.08	A
USGS	01102500	2016-05-23	8.46	A
USGS	01102500	2016-05-24	28.0	A
USGS	01102500	2016-05-25	24.1	A
USGS	01102500	2016-05-26	17.6	A
USGS	01102500	2016-05-27	14.3	A
USGS	01102500	2016-05-28	11.9	A
USGS	01102500	2016-05-29	9.78	A
USGS	01102500	2016-05-30	23.3	A
USGS	01102500	2016-05-31	17.8	A
USGS	01102500	2016-06-01	13.1	A
USGS	01102500	2016-06-02	10.6	A
USGS	01102500	2016-06-03	8.72	A
USGS	01102500	2016-06-04	7.31	A
USGS	01102500	2016-06-05	15.5	A
USGS	01102500	2016-06-06	41.9	A
USGS	01102500	2016-06-07	31.7	A
USGS	01102500	2016-06-08	22.0	A
USGS	01102500	2016-06-09	14.7	A
USGS	01102500	2016-06-10	10.7	A
USGS	01102500	2016-06-11	8.72	A
USGS	01102500	2016-06-12	7.69	A
USGS	01102500	2016-06-13	5.35	A
USGS	01102500	2016-06-14	3.34	A
USGS	01102500	2016-06-15	1.98	A
USGS	01102500	2016-06-16	1.00	A
USGS	01102500	2016-06-17	1.00	A:<
USGS	01102500	2016-06-18	1.00	A:<
USGS	01102500	2016-06-19	1.00	A:<
USGS	01102500	2016-06-20	1.00	A:<
USGS	01102500	2016-06-21	1.00	A:<
USGS	01102500	2016-06-22	1.00	A:<
USGS	01102500	2016-06-23	1.00	A:<
USGS	01102500	2016-06-24	1.00	A:<
USGS	01102500	2016-06-25	1.00	A:<
USGS	01102500	2016-06-26	1.00	A:<
USGS	01102500	2016-06-27	1.00	A:<
USGS	01102500	2016-06-28	1.00	A:<
USGS	01102500	2016-06-29	1.00	A:<
USGS	01102500	2016-06-30	1.00	A:<
USGS	01102500	2016-07-01	1.00	A:<
USGS	01102500	2016-07-02	2.16	A
USGS	01102500	2016-07-03	1.09	A
USGS	01102500	2016-07-04	1.10	A
USGS	01102500	2016-07-05	1.70	A
USGS	01102500	2016-07-06	2.42	A
USGS	01102500	2016-07-07	2.63	A
USGS	01102500	2016-07-08	2.70	A
USGS	01102500	2016-07-09	3.00	A
USGS	01102500	2016-07-10	5.35	A
USGS	01102500	2016-07-11	6.26	A
USGS	01102500	2016-07-12	6.82	A
USGS	01102500	2016-07-13	7.49	A
USGS	01102500	2016-07-14	7.97	A
USGS	01102500	2016-07-15	8.77	A
USGS	01102500	2016-07-16	8.33	A
USGS	01102500	2016-07-17	8.59	A
USGS	01102500	2016-07-18	8.83	A
USGS	01102500	2016-07-19	8.55	A
USGS	01102500	2016-07-20	7.42	A
USGS	01102500	2016-07-21	7.13	A
USGS	01102500	2016-07-22	7.40	A
USGS	01102500	2016-07-23	10.1	A
USGS	01102500	2016-07-24	11.2	A
USGS	01102500	2016-07-25	10.8	A
USGS	01102500	2016-07-26	10.4	A
USGS	01102500	2016-07-27	10.0	A
USGS	01102500	2016-07-28	9.80	A
USGS	01102500	2016-07-29	8.96	A
USGS	01102500	2016-07-30	8.75	A
USGS	01102500	2016-07-31	9.29	A
USGS	01102500	2016-08-01	10.0	A
USGS	01102500	2016-08-02	9.74	A
USGS	01102500	2016-08-03	9.20	A
USGS	01102500	2016-08-04	8.83	A
USGS	01102500	2016-08-05	8.60	A
USGS	01102500	2016-08-06	6.11	A
USGS	01102500	2016-08-07	3.53	A
USGS	01102500	2016-08-08	3.11	A
USGS	01102500	2016-08-09	2.66	A
USGS	01102500	2016-08-10	16.2	A
USGS	01102500	2016-08-11	25.5	A
USGS	01102500	2016-08-12	16.1	A
USGS	01102500	2016-08-13	14.1	A
USGS	01102500	2016-08-14	18.0	A
USGS	01102500	2016-08-15	12.7	A
USGS	01102500	2016-08-16	10.2	A
USGS	01102500	2016-08-17	9.01	A
USGS	01102500	2016-08-18	7.61	A
USGS	01102500	2016-08-19	7.21	A
USGS	01102500	2016-08-20	6.83	A
USGS	01102500	2016-08-21	6.04	A
USGS	01102500	2016-08-22	16.8	A
USGS	01102500	2016-08-23	7.35	A
USGS	01102500	2016-08-24	1.91	A
